shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
"SBout","34.056847","-118.213669","7"
"SBout","34.057076","-118.225174","5"
"SBout","34.060650","-117.329185","45"
"SBout","34.060860","-118.232536","2"
"SBout","34.061687","-118.227036","4"
"SBout","34.061996","-118.230652","3"
"SBout","34.062504","-118.170586","12"
"SBout","34.062859","-118.161751","13"
"SBout","34.066269","-117.978897","23"
"SBout","34.071396","-118.144485","14"
"SBout","34.072521","-118.050987","15"
"SBout","34.072777","-117.326683","44"
"SBout","34.073093","-118.045563","16"
"SBout","34.076077","-118.034187","19"
"SBout","34.077705","-118.040382","17"
"SBout","34.078262","-118.038666","18"
"SBout","34.089020","-117.954781","24"
"SBout","34.091881","-117.558823","34"
"SBout","34.092041","-117.950630","25"
"SBout","34.092117","-117.871178","26"
"SBout","34.092510","-117.628120","33"
"SBout","34.093601","-117.754578","31"
"SBout","34.094421","-117.640007","32"
"SBout","34.095932","-117.770508","29"
"SBout","34.096008","-117.764786","30"
"SBout","34.097225","-117.351753","35"
"SBout","34.098526","-117.316124","43"
"SBout","34.098553","-117.345291","36"
"SBout","34.101147","-117.791801","28"
"SBout","34.101215","-117.842354","27"
"SBout","34.103649","-117.315857","42"
"SBout","34.104183","-117.320107","39"
"SBout","34.104427","-117.314774","41"
"SBout","34.104515","-117.333221","37"
"SBout","34.104553","-117.310074","40"
"SBout","34.105053","-117.324486","38"
"VTin","34.054199","-118.234818","48"
"VTin","34.061203","-118.232292","47"
"VTin","34.062656","-118.225639","46"
"VTin","34.067303","-118.223961","45"
"VTin","34.090302","-118.227547","44"
"VTin","34.096504","-118.236328","43"
"VTin","34.113304","-118.247658","42"
"VTin","34.125179","-118.260521","41"
"VTin","34.158585","-118.279449","40"
"VTin","34.177219","-118.310410","39"
"VTin","34.186226","-118.321083","38"
"VTin","34.197407","-119.048721","6"
"VTin","34.198235","-119.174370","5"
"VTin","34.199242","-119.044228","7"
"VTin","34.202343","-119.177513","4"
"VTin","34.210377","-119.038452","8"
"VTin","34.219353","-119.031242","9"
"VTin","34.230587","-119.177315","3"
"VTin","34.234325","-119.015495","10"
"VTin","34.239803","-118.591156","37"
"VTin","34.242535","-118.596130","36"
"VTin","34.246651","-119.006775","11"
"VTin","34.247231","-119.201401","2"
"VTin","34.247280","-118.599136","35"
"VTin","34.251259","-119.201080","1"
"VTin","34.260910","-118.662369","27"
"VTin","34.261829","-118.655144","28"
"VTin","34.263264","-118.620583","30"
"VTin","34.264221","-118.979790","12"
"VTin","34.265079","-118.614258","31"
"VTin","34.265274","-118.674614","26"
"VTin","34.266125","-118.648071","29"
"VTin","34.266251","-118.687805","25"
"VTin","34.269836","-118.599556","34"
"VTin","34.271461","-118.610992","32"
"VTin","34.271809","-118.699387","24"
"VTin","34.272038","-118.601761","33"
"VTin","34.272232","-118.764503","23"
"VTin","34.272499","-118.934319","13"
"VTin","34.276039","-118.779358","22"
"VTin","34.279495","-118.919701","14"
"VTin","34.280533","-118.789070","21"
"VTin","34.281143","-118.798859","20"
"VTin","34.285236","-118.893776","15"
"VTin","34.285500","-118.864967","16"
"VTin","34.286652","-118.807007","19"
"VTin","34.288551","-118.824707","18"
"VTin","34.293457","-118.838463","17"
"VTout","34.054199","-118.234818","1"
"VTout","34.061203","-118.232292","2"
"VTout","34.062656","-118.225639","3"
"VTout","34.067303","-118.223961","4"
"VTout","34.090302","-118.227547","5"
"VTout","34.096504","-118.236328","6"
"VTout","34.113304","-118.247658","7"
"VTout","34.125179","-118.260521","8"
"VTout","34.158585","-118.279449","9"
"VTout","34.177219","-118.310410","10"
"VTout","34.186226","-118.321083","11"
"VTout","34.197407","-119.048721","43"
"VTout","34.198235","-119.174370","44"
"VTout","34.199242","-119.044228","42"
"VTout","34.202343","-119.177513","45"
"VTout","34.210377","-119.038452","41"
"VTout","34.219353","-119.031242","40"
"VTout","34.230587","-119.177315","46"
"VTout","34.234325","-119.015495","39"
"VTout","34.239803","-118.591156","12"
"VTout","34.242535","-118.596130","13"
"VTout","34.246651","-119.006775","38"
"VTout","34.247231","-119.201401","47"
"VTout","34.247280","-118.599136","14"
"VTout","34.251259","-119.201080","48"
"VTout","34.260910","-118.662369","22"
"VTout","34.261829","-118.655144","21"
"VTout","34.263264","-118.620583","19"
"VTout","34.264221","-118.979790","37"
"VTout","34.265079","-118.614258","18"
"VTout","34.265274","-118.674614","23"
"VTout","34.266125","-118.648071","20"
"VTout","34.266251","-118.687805","24"
"VTout","34.269836","-118.599556","15"
"VTout","34.271461","-118.610992","17"
"VTout","34.271809","-118.699387","25"
"VTout","34.272038","-118.601761","16"
"VTout","34.272232","-118.764503","26"
"VTout","34.272499","-118.934319","36"
"VTout","34.276039","-118.779358","27"
"VTout","34.279495","-118.919701","35"
"VTout","34.280533","-118.789070","28"
"VTout","34.281143","-118.798859","29"
"VTout","34.285236","-118.893776","34"
"VTout","34.285500","-118.864967","33"
"VTout","34.286652","-118.807007","30"
"VTout","34.288551","-118.824707","31"
"VTout","34.293457","-118.838463","32"
